index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,1280,1280,0,5227.6353,77.4277,15.0000,254.0000,27.3871,2962668,0.8885
1,1280,1280,0,6349.0586,90.8018,24.0000,254.0000,32.5526,3014560,0.8273
2,1280,1280,0,5908.9619,84.1629,8.0000,254.0000,29.2053,3021034,0.9389
3,1280,1280,0,4503.5962,102.1029,29.0000,253.0000,28.5701,2985522,0.7943
4,1280,1280,0,5546.6782,97.2498,28.0000,255.0000,30.5456,2960450,0.8021
5,1280,1280,0,1050.8827,19.1927,0.0000,248.0000,41.3651,619512,1.0000
6,1280,1280,0,1600.1696,53.8155,15.0000,253.0000,15.6852,2583266,0.8881
7,1280,1280,0,2106.3928,51.4638,0.0000,254.0000,16.4001,2622080,1.0000
8,1280,1280,0,900.9336,55.6361,23.0000,140.0000,14.2448,2536816,0.7178
9,1280,1280,0,585.7756,61.5610,29.0000,188.0000,10.6762,2492502,0.7327
10,1280,1280,0,1354.4994,39.2254,17.0000,169.0000,13.2403,2570444,0.8172
11,1280,1280,0,143.7166,7.6672,2.0000,231.0000,4.3503,1883488,0.9828
12,1280,1280,0,269.7393,7.3272,2.0000,252.0000,6.1434,1862322,0.9843
13,1280,1280,0,1684.4520,56.6550,5.0000,231.0000,17.6314,2534466,0.9576
14,1280,1280,0,221.0561,19.1831,3.0000,241.0000,5.3833,1936394,0.9754
15,1280,1280,0,72.3043,15.3723,2.0000,209.0000,3.5769,1567650,0.9810
16,1280,1280,0,431.2313,16.9662,3.0000,221.0000,13.9293,1755758,0.9732
17,1280,1280,0,161.2564,36.3869,3.0000,250.0000,42.3683,2084252,0.9763
18,1280,1280,0,334.0719,57.3626,0.0000,253.0000,68.1357,2077576,1.0000
19,1280,1280,0,969.5112,30.6059,3.0000,226.0000,37.0871,2180354,0.9738
20,1280,1280,0,3140.6653,50.4627,0.0000,254.0000,35.3699,2799566,1.0000
21,1280,1280,0,336.0631,30.3301,24.0000,163.0000,8.3040,2035174,0.7433
22,1280,1280,0,362.2107,42.2418,9.0000,146.0000,8.3186,1965074,0.8839
23,1280,1280,0,2436.9971,44.2390,0.0000,180.0000,33.0019,2535048,1.0000
24,1280,1280,0,825.0709,34.9555,15.0000,255.0000,23.2878,2256294,0.8889
25,1280,1280,0,316.3017,24.3280,0.0000,192.0000,57.6221,334206,1.0000
26,1280,1280,0,30.0612,4.6601,0.0000,233.0000,11.0791,288844,1.0000
27,1280,1280,0,452.6004,9.2163,0.0000,155.0000,25.0839,447456,1.0000
28,1280,1280,0,3529.2070,65.9907,15.0000,253.0000,25.0194,2673196,0.8881
29,1280,1280,0,3810.4539,73.2718,0.0000,255.0000,25.7217,2684500,1.0000
30,1280,1280,0,3200.0874,28.6147,8.0000,244.0000,31.0273,2068154,0.9365
31,1280,1280,0,1320.2247,31.5849,0.0000,254.0000,11.9579,2429702,1.0000
32,1280,1280,0,1065.0110,34.0122,6.0000,253.0000,11.4455,2406104,0.9537
33,1280,1280,0,658.2061,36.9822,0.0000,253.0000,30.2124,1522872,1.0000
34,1280,1280,0,378.8042,32.5518,0.0000,236.0000,25.9408,1559614,1.0000
35,1280,1280,0,2141.5496,20.5767,0.0000,254.0000,21.6370,1909330,1.0000
36,1280,1280,0,1139.4899,14.9089,8.0000,254.0000,12.8345,1760444,0.9389
37,1280,1280,0,61.8710,11.0131,6.0000,198.0000,2.7184,1426722,0.9412
38,1280,1280,0,97.5345,10.7760,8.0000,254.0000,2.7035,1473546,0.9389
39,1280,1280,0,1679.0878,53.5172,0.0000,255.0000,22.2854,2104886,1.0000
40,1280,1280,0,4089.3833,102.0155,21.0000,193.0000,15.7000,2148200,0.8037
41,1280,1280,0,57.3348,21.9693,10.0000,214.0000,2.5238,1976380,0.9107
42,1280,1280,0,43.2615,29.0032,0.0000,254.0000,19.6211,1378514,1.0000
43,1280,1280,0,1059.6863,34.0971,3.0000,171.0000,11.4526,2455528,0.9655
44,1280,1280,0,1703.2123,51.4571,23.0000,253.0000,15.4929,2541258,0.8333
45,1280,1280,0,1391.9360,41.0763,11.0000,255.0000,15.8701,2478762,0.9173
46,1280,1280,0,1566.5603,39.2497,8.0000,182.0000,22.3018,2410244,0.9158
47,1280,1280,0,747.9782,35.5547,13.0000,216.0000,16.1141,2372644,0.8865
48,1280,1280,0,868.5275,31.4670,9.0000,193.0000,8.2908,2460802,0.9109
49,1280,1280,0,708.6485,29.6290,0.0000,210.0000,28.0952,1414116,1.0000
50,1280,1280,0,709.1819,31.1081,7.0000,202.0000,15.9779,2424964,0.9330
51,1280,1280,0,2051.9382,48.7851,5.0000,224.0000,25.8407,2478176,0.9563
52,1280,1280,0,2257.6870,44.4180,3.0000,181.0000,29.4819,2527298,0.9674
53,1280,1280,0,3389.7263,24.2030,3.0000,182.0000,14.0970,2489542,0.9676
54,1280,1280,0,1111.8578,28.8516,1.0000,255.0000,29.3184,2416664,0.9922
55,1280,1280,0,1081.7695,17.6801,1.0000,235.0000,7.5462,2554400,0.9915
56,1280,1280,0,1622.6740,39.3317,0.0000,185.0000,40.3220,1973574,1.0000
57,1280,1280,0,497.3093,13.3230,0.0000,142.0000,9.4396,1902096,1.0000
58,1280,1280,0,800.3277,12.4929,0.0000,254.0000,9.8861,1854532,1.0000
59,1280,1280,0,1511.2238,26.1770,7.0000,196.0000,14.3153,2505490,0.9310
60,1280,1280,0,344.2457,22.3953,13.0000,254.0000,14.3629,1854642,0.9026
61,1280,1280,0,664.3856,31.3582,19.0000,229.0000,14.7654,2019334,0.8468
62,1280,1280,0,208.8295,65.3942,20.0000,253.0000,56.4209,2160822,0.8535
63,1280,1280,0,176.1991,27.7399,7.0000,248.0000,30.7439,1983350,0.9451
64,1280,1280,0,742.8736,37.0109,6.0000,208.0000,18.1134,2067764,0.9439
65,1280,1280,0,530.1750,27.6781,4.0000,237.0000,12.0361,2076288,0.9668
66,1280,1280,0,3329.7563,58.9178,1.0000,243.0000,27.4547,2342256,0.9918
67,1280,1280,0,700.9283,35.2302,2.0000,212.0000,18.7204,1809408,0.9813
68,1280,1280,0,282.3914,49.9122,5.0000,239.0000,26.9422,2059156,0.9590
69,1280,1280,0,433.9871,55.3709,1.0000,249.0000,34.3360,2246470,0.9920
70,1280,1280,0,257.8174,37.5676,5.0000,133.0000,7.7091,2234706,0.9275
71,1280,1280,0,215.6329,34.9289,25.0000,122.0000,11.2028,2075454,0.6599
72,1280,1280,0,909.2011,33.8605,1.0000,204.0000,31.9977,2061766,0.9902
73,1280,1280,0,688.4551,17.1206,1.0000,255.0000,12.4655,1983214,0.9922
74,1280,1280,0,1201.1960,46.8842,9.0000,192.0000,37.0875,2381674,0.9104
75,1280,1280,0,8561.8740,48.9401,4.0000,246.0000,30.8731,2813554,0.9680
76,1280,1280,0,1921.5063,50.5470,7.0000,236.0000,15.1133,2429178,0.9424
77,1280,1280,0,4850.2402,50.2456,2.0000,233.0000,23.1938,2653068,0.9830
78,1280,1280,0,3058.8372,45.8717,2.0000,211.0000,35.4577,2385520,0.9812
79,1280,1280,0,461.9409,9.7582,0.0000,216.0000,17.6628,728114,1.0000
80,1280,1280,0,62.4863,20.0918,0.0000,203.0000,29.8368,641770,1.0000
81,1280,1280,0,745.9448,60.9854,4.0000,252.0000,39.6349,2078334,0.9688
82,1280,1280,0,3498.4792,44.5964,4.0000,254.0000,26.2948,2729548,0.9690
83,1280,1280,0,5648.2397,51.8054,1.0000,228.0000,31.0392,2763988,0.9913
84,1280,1280,0,3477.2915,80.0106,3.0000,254.0000,53.7076,2746968,0.9767
85,1280,1280,0,9002.8193,78.0717,5.0000,215.0000,26.5541,2828012,0.9545
86,1280,1280,0,5342.7334,67.2849,7.0000,233.0000,19.8907,2778482,0.9417
87,1280,1280,0,4448.1826,65.2887,7.0000,208.0000,19.9108,2807704,0.9349
88,1280,1280,0,8977.1670,98.6615,4.0000,235.0000,32.4251,2772416,0.9665
89,1280,1280,0,2696.9661,61.2626,2.0000,248.0000,46.5793,2583466,0.9840
90,1280,1280,0,393.8245,35.6373,2.0000,255.0000,44.9771,2431530,0.9844
91,1280,1280,0,4635.1567,111.3255,6.0000,232.0000,22.7471,2608374,0.9496
92,1280,1280,0,2540.5896,105.2450,6.0000,193.0000,15.8731,2563458,0.9397
93,1280,1280,0,3240.9673,92.7485,4.0000,245.0000,18.9845,2637294,0.9679
94,1280,1280,0,2007.5575,115.1092,8.0000,254.0000,15.0118,2539080,0.9389
95,1280,1280,0,2002.8256,130.8992,9.0000,237.0000,13.6731,2502280,0.9268
96,1280,1280,0,2667.7969,85.6507,3.0000,210.0000,14.5544,2580862,0.9718
97,1280,1280,0,3521.3933,88.4206,0.0000,207.0000,48.0329,2137218,1.0000
98,1280,1280,0,2228.1487,109.1859,12.0000,211.0000,19.4891,2468094,0.8924
99,1280,1280,0,1287.1840,71.5293,11.0000,182.0000,14.4407,2439578,0.8860
100,1280,1280,0,1215.6260,91.0806,0.0000,231.0000,18.0705,2474204,1.0000
101,1280,1280,0,1570.3776,109.0421,0.0000,234.0000,20.6547,2489900,1.0000
102,1280,1280,0,1646.6237,64.5785,13.0000,159.0000,13.3825,2601378,0.8488
103,1280,1280,0,1788.4037,82.0479,0.0000,235.0000,19.2280,2563030,1.0000
104,1280,1280,0,1582.1191,52.2384,0.0000,254.0000,13.7629,2638568,1.0000
105,1280,1280,0,434.7690,18.5459,0.0000,196.0000,37.6630,571906,1.0000
106,1280,1280,0,1411.1602,65.9654,12.0000,255.0000,16.5750,2628494,0.9101
107,1280,1280,0,234.3297,11.7043,3.0000,221.0000,11.5658,1951998,0.9732
108,1280,1280,0,2120.3362,30.2342,0.0000,234.0000,32.7601,1483818,1.0000
109,1280,1280,0,226.9037,13.9219,3.0000,228.0000,7.8214,2070678,0.9740
110,1280,1280,0,869.9167,15.7911,4.0000,242.0000,16.3763,1830674,0.9675
111,1280,1280,0,133.7626,9.6603,2.0000,178.0000,4.8230,2085702,0.9778
112,1280,1280,0,3999.4956,63.1255,1.0000,254.0000,34.8706,2665166,0.9922
113,1280,1280,0,1420.9454,33.7335,11.0000,255.0000,18.9464,2365950,0.9173
114,1280,1280,0,3845.9260,44.8334,0.0000,255.0000,26.2483,2596406,1.0000
115,1280,1280,0,1004.9986,64.7060,20.0000,252.0000,14.6239,2471214,0.8529
116,1280,1280,0,712.1548,79.9645,0.0000,195.0000,60.1168,1667448,1.0000
117,1280,1280,0,385.9221,70.9134,0.0000,212.0000,53.1662,1618394,1.0000
118,1280,1280,0,930.1780,59.1788,0.0000,234.0000,44.8917,1679290,1.0000
119,1280,1280,0,1385.3492,69.2232,11.0000,226.0000,12.2704,2567492,0.9072
120,1280,1280,0,1353.7822,92.8395,9.0000,228.0000,13.5534,2532870,0.9241
121,1280,1280,0,627.1791,72.8988,0.0000,210.0000,54.8558,1677354,1.0000
122,1280,1280,0,812.7376,57.7137,4.0000,253.0000,13.2989,2489306,0.9689
123,1280,1280,0,5673.9272,96.5800,25.0000,254.0000,23.5777,2760802,0.8208
124,1280,1280,0,3525.4495,71.7763,13.0000,252.0000,18.4716,2653292,0.9019
125,1280,1280,0,4718.6113,67.8091,0.0000,253.0000,50.8612,1939840,1.0000
126,1280,1280,0,4174.9341,63.1789,19.0000,232.0000,18.7098,2657904,0.8486
127,1280,1280,0,656.1268,54.4974,0.0000,184.0000,30.7393,1988256,1.0000
128,1280,1280,0,1501.6340,63.4391,0.0000,218.0000,32.5755,2145066,1.0000
129,1280,1280,0,190.2253,19.1673,9.0000,230.0000,5.3134,1682946,0.9247
130,1280,1280,0,2271.7317,34.7087,4.0000,232.0000,35.5382,2306346,0.9661
131,1280,1280,0,3839.7092,90.2242,6.0000,184.0000,19.5473,2625224,0.9368
132,1280,1280,0,2118.4539,83.4711,10.0000,178.0000,13.3544,2501098,0.8936
133,1280,1280,0,3421.6240,125.9864,7.0000,218.0000,21.0512,2482150,0.9378
