index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,1280,1280,0,423.0770,39.7722,22.0000,183.0000,10.3010,2318024,0.7854
1,1280,1280,0,83.2991,4.9022,0.0000,115.0000,14.1951,364136,1.0000
2,1280,1280,0,437.8020,41.1913,21.0000,165.0000,9.4341,2299558,0.7742
3,1280,1280,0,265.7621,9.7222,0.0000,226.0000,27.9723,358384,1.0000
4,1280,1280,0,449.1130,38.2041,14.0000,155.0000,9.2049,2327098,0.8343
5,1280,1280,0,177.7178,8.9895,0.0000,177.0000,25.6950,358186,1.0000
6,1280,1280,0,450.5588,45.8443,21.0000,128.0000,10.4626,2269096,0.7181
7,1280,1280,0,350.2237,15.4872,0.0000,244.0000,44.3295,344932,1.0000
8,1280,1280,0,212.7372,2.9666,0.0000,202.0000,19.8906,108734,1.0000
9,1280,1280,0,55.8710,0.4598,0.0000,246.0000,9.2802,70236,1.0000
10,1280,1280,0,2098.4043,104.3548,9.0000,228.0000,24.1216,1921820,0.9241
11,1280,1280,0,2064.7388,95.7592,4.0000,255.0000,22.2355,2049208,0.9691
12,1280,1280,0,4183.1729,136.9914,16.0000,229.0000,23.5228,2108950,0.8694
13,1280,1280,0,4342.6221,137.0532,17.0000,234.0000,24.0149,2059334,0.8645
14,1280,1280,0,515.3993,36.7530,0.0000,250.0000,85.4192,415610,1.0000
15,1280,1280,0,2289.5356,120.5468,19.0000,237.0000,28.5070,1920704,0.8516
16,1280,1280,0,3511.8120,126.2573,8.0000,234.0000,30.0278,2041438,0.9339
17,1280,1280,0,5294.9072,119.8208,23.0000,235.0000,26.4453,2110422,0.8217
18,1280,1280,0,4030.3079,135.5263,22.0000,234.0000,22.9837,2055426,0.8281
19,1280,1280,0,515.9247,37.0829,0.0000,253.0000,86.1867,416906,1.0000
20,1280,1280,0,2841.6199,120.5611,23.0000,221.0000,22.2138,1926840,0.8115
21,1280,1280,0,4382.8071,117.0777,20.0000,235.0000,26.2111,2037492,0.8431
22,1280,1280,0,5476.2446,121.5047,15.0000,226.0000,25.8699,2117574,0.8755
23,1280,1280,0,4593.3843,127.7690,24.0000,236.0000,23.7937,2064928,0.8154
24,1280,1280,0,499.7170,36.3072,0.0000,249.0000,84.3936,416348,1.0000
25,1280,1280,0,3526.4480,109.1390,10.0000,229.0000,26.1590,1928274,0.9163
26,1280,1280,0,4743.8369,127.8419,16.0000,249.0000,24.4958,2044798,0.8792
27,1280,1280,0,5922.5142,123.4094,0.0000,228.0000,26.5299,2110402,1.0000
28,1280,1280,0,4332.8618,125.9014,24.0000,239.0000,25.1836,2057354,0.8175
