component_id,mean,sum,count,min,max
7440,0.970804,1.000000,0.970804,0.970804,0.970804
7416,1.953495,2.000000,0.976747,0.976747,0.976747
7404,1.940734,2.000000,0.970367,0.970367,0.970367
7203,1.981942,2.000000,0.990971,0.990971,0.990971
7198,5.903032,6.000000,0.983839,0.978328,0.986682
7007,1.963800,2.000000,0.981900,0.981900,0.981900
6936,5.789239,6.000000,0.964873,0.961846,0.969709
6787,7.739095,8.000000,0.967387,0.962929,0.970379
6705,1.950522,2.000000,0.975261,0.975261,0.975261
6697,7.955694,8.000000,0.994462,0.988081,0.997610
6646,1.944383,2.000000,0.972192,0.972192,0.972192
6645,1.935007,2.000000,0.967504,0.967504,0.967504
6637,1.941456,2.000000,0.970728,0.970728,0.970728
6622,1.922709,2.000000,0.961354,0.961354,0.961354
6602,1.932482,2.000000,0.966241,0.966241,0.966241
6571,1.957770,2.000000,0.978885,0.978885,0.978885
6570,9.759151,10.000000,0.975915,0.962130,0.985567
6538,5.799753,6.000000,0.966625,0.962069,0.971453
6528,1.950567,2.000000,0.975283,0.975283,0.975283
6524,1.945369,2.000000,0.972685,0.972685,0.972685
6514,5.882650,6.000000,0.980442,0.977183,0.984205
6500,1.929950,2.000000,0.964975,0.964975,0.964975
6472,1.922577,2.000000,0.961289,0.961289,0.961289
6457,1.932539,2.000000,0.966270,0.966270,0.966270
6410,3.923840,4.000000,0.980960,0.972932,0.984032
6404,0.961756,1.000000,0.961756,0.961756,0.961756
6341,1.939235,2.000000,0.969617,0.969617,0.969617
6283,3.905858,4.000000,0.976465,0.967185,0.985744
6271,0.988310,1.000000,0.988310,0.988310,0.988310
6261,9.733522,10.000000,0.973352,0.961471,0.982745
6260,12.899426,13.000000,0.992263,0.987287,0.996134
6253,0.961784,1.000000,0.961784,0.961784,0.961784
6162,12.868940,13.000000,0.989918,0.977768,0.997609
6050,1.921139,2.000000,0.960570,0.960570,0.960570
6032,3.847629,4.000000,0.961907,0.960637,0.963177
6023,9.785069,10.000000,0.978507,0.967175,0.986357
6022,1.924291,2.000000,0.962146,0.962146,0.962146
6009,6.768219,7.000000,0.966888,0.961193,0.973302
6007,15.940513,16.000000,0.996282,0.990245,0.998956
5976,7.876097,8.000000,0.984512,0.970174,0.990903
5842,3.862532,4.000000,0.965633,0.962390,0.968876
5841,1.924502,2.000000,0.962251,0.962251,0.962251
5794,1.931267,2.000000,0.965633,0.965633,0.965633
5786,1.930025,2.000000,0.965012,0.965012,0.965012
5771,1.975114,2.000000,0.987557,0.987557,0.987557
5770,3.874785,4.000000,0.968696,0.965975,0.971418
5763,1.999961,2.000000,0.999980,0.999980,0.999980
5760,3.866068,4.000000,0.966517,0.966199,0.966834
5749,7.999865,8.000000,0.999983,0.999977,0.999988
5748,1.930560,2.000000,0.965280,0.965280,0.965280
5747,1.921992,2.000000,0.960996,0.960996,0.960996
5746,1.961123,2.000000,0.980561,0.980561,0.980561
5684,5.978980,6.000000,0.996497,0.993781,0.999278
5680,1.924594,2.000000,0.962297,0.962297,0.962297
5671,7.987738,8.000000,0.998467,0.996718,0.999640
5491,0.964901,1.000000,0.964901,0.964901,0.964901
