__id,component_id,sum,count,mean_distance,min_distance,max_distance
0,0,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,38.4035,39.0000,0.9847,0.9640,0.9977
2,2,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,38.4035,39.0000,0.9847,0.9640,0.9977
4,3,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,38.4035,39.0000,0.9847,0.9640,0.9977
6,4,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,38.4035,39.0000,0.9847,0.9640,0.9977
8,5,15.8830,16.0000,0.9927,0.9765,0.9974
9,6,1.9287,2.0000,0.9643,0.9643,0.9643
10,7,11.7645,12.0000,0.9804,0.9727,0.9869
11,8,22.4755,23.0000,0.9772,0.9667,0.9834
12,9,18.5588,19.0000,0.9768,0.9681,0.9822
13,9,18.5588,19.0000,0.9768,0.9681,0.9822
14,10,5.9708,6.0000,0.9951,0.9946,0.9958
15,11,0.0000,0.0000,0.0000,0.0000,0.0000
16,8,22.4755,23.0000,0.9772,0.9667,0.9834
17,9,18.5588,19.0000,0.9768,0.9681,0.9822
18,9,18.5588,19.0000,0.9768,0.9681,0.9822
19,12,5.9764,6.0000,0.9961,0.9954,0.9971
20,7,11.7645,12.0000,0.9804,0.9727,0.9869
21,13,7.8603,8.0000,0.9825,0.9793,0.9836
22,8,22.4755,23.0000,0.9772,0.9667,0.9834
23,14,0.0000,0.0000,0.0000,0.0000,0.0000
24,10,5.9708,6.0000,0.9951,0.9946,0.9958
25,15,0.0000,0.0000,0.0000,0.0000,0.0000
26,13,7.8603,8.0000,0.9825,0.9793,0.9836
27,16,0.0000,0.0000,0.0000,0.0000,0.0000
28,17,0.0000,0.0000,0.0000,0.0000,0.0000
29,10,5.9708,6.0000,0.9951,0.9946,0.9958
30,18,0.0000,0.0000,0.0000,0.0000,0.0000
31,19,2.9267,3.0000,0.9756,0.9684,0.9792
32,9,18.5588,19.0000,0.9768,0.9681,0.9822
33,20,2.9341,3.0000,0.9780,0.9764,0.9788
34,12,5.9764,6.0000,0.9961,0.9954,0.9971
35,21,0.0000,0.0000,0.0000,0.0000,0.0000
36,13,7.8603,8.0000,0.9825,0.9793,0.9836
37,13,7.8603,8.0000,0.9825,0.9793,0.9836
38,8,22.4755,23.0000,0.9772,0.9667,0.9834
39,12,5.9764,6.0000,0.9961,0.9954,0.9971
40,22,0.0000,0.0000,0.0000,0.0000,0.0000
41,23,0.0000,0.0000,0.0000,0.0000,0.0000
42,9,18.5588,19.0000,0.9768,0.9681,0.9822
43,8,22.4755,23.0000,0.9772,0.9667,0.9834
44,24,0.0000,0.0000,0.0000,0.0000,0.0000
45,25,7.9898,8.0000,0.9987,0.9980,0.9992
46,25,7.9898,8.0000,0.9987,0.9980,0.9992
47,25,7.9898,8.0000,0.9987,0.9980,0.9992
48,25,7.9898,8.0000,0.9987,0.9980,0.9992
49,26,0.0000,0.0000,0.0000,0.0000,0.0000
50,27,0.0000,0.0000,0.0000,0.0000,0.0000
51,28,0.0000,0.0000,0.0000,0.0000,0.0000
52,29,1.9658,2.0000,0.9829,0.9829,0.9829
53,30,0.0000,0.0000,0.0000,0.0000,0.0000
54,31,0.0000,0.0000,0.0000,0.0000,0.0000
