from,to,distance
dataset/unlabeled/images_jpg/4791_7680_10240.jpg,dataset/unlabeled/images_jpg/1266_6400_1280.jpg,0.810514
dataset/unlabeled/images_jpg/1266_2560_1280.jpg,dataset/unlabeled/images_jpg/8791_2560_6400.jpg,0.810458
dataset/unlabeled/images_jpg/16925_1280_0.jpg,dataset/unlabeled/images_jpg/16925_5120_3840.jpg,0.810426
dataset/unlabeled/images_jpg/8368_1280_2560.jpg,dataset/unlabeled/images_jpg/16325_6400_7680.jpg,0.810322
dataset/unlabeled/images_jpg/4344_11520_2560.jpg,dataset/unlabeled/images_jpg/16488_0_6400.jpg,0.810280
dataset/unlabeled/images_jpg/17560_7680_7680.jpg,dataset/unlabeled/images_jpg/17560_8960_7680.jpg,0.810180
dataset/unlabeled/images_jpg/9037_6400_3840.jpg,dataset/unlabeled/images_jpg/9714_7680_5120.jpg,0.810163
dataset/unlabeled/images_jpg/5347_5120_5120.jpg,dataset/unlabeled/images_jpg/2111_0_6400.jpg,0.810150
dataset/unlabeled/images_jpg/731_6400_2560.jpg,dataset/unlabeled/images_jpg/8368_1280_1280.jpg,0.809999
dataset/unlabeled/images_jpg/14168_7680_11520.jpg,dataset/unlabeled/images_jpg/3183_7680_8960.jpg,0.809993
dataset/unlabeled/images_jpg/10842_0_7680.jpg,dataset/unlabeled/images_jpg/10842_1280_3840.jpg,0.809961
dataset/unlabeled/images_jpg/19273_2560_6400.jpg,dataset/unlabeled/images_jpg/19273_2560_7680.jpg,0.809960
dataset/unlabeled/images_jpg/13068_0_2560.jpg,dataset/unlabeled/images_jpg/14526_2560_1280.jpg,0.809946
dataset/unlabeled/images_jpg/4791_7680_10240.jpg,dataset/unlabeled/images_jpg/1266_5120_3840.jpg,0.809935
dataset/unlabeled/images_jpg/16325_5120_3840.jpg,dataset/unlabeled/images_jpg/16423_1280_3840.jpg,0.809907
dataset/unlabeled/images_jpg/13282_2560_7680.jpg,dataset/unlabeled/images_jpg/3386_1280_0.jpg,0.809899
dataset/unlabeled/images_jpg/867_6400_0.jpg,dataset/unlabeled/images_jpg/4217_11520_0.jpg,0.809883
dataset/unlabeled/images_jpg/16403_8960_6400.jpg,dataset/unlabeled/images_jpg/15740_2560_3840.jpg,0.809814
dataset/unlabeled/images_jpg/10646_3840_6400.jpg,dataset/unlabeled/images_jpg/11553_6400_0.jpg,0.809814
dataset/unlabeled/images_jpg/16925_6400_2560.jpg,dataset/unlabeled/images_jpg/4217_10240_6400.jpg,0.809778
dataset/unlabeled/images_jpg/3183_10240_8960.jpg,dataset/unlabeled/images_jpg/16403_6400_1280.jpg,0.809748
dataset/unlabeled/images_jpg/2426_5120_0.jpg,dataset/unlabeled/images_jpg/2426_3840_2560.jpg,0.809728
dataset/unlabeled/images_jpg/13707_3840_3840.jpg,dataset/unlabeled/images_jpg/3849_2560_1280.jpg,0.809661
dataset/unlabeled/images_jpg/16525_3840_1280.jpg,dataset/unlabeled/images_jpg/16525_2560_1280.jpg,0.809602
dataset/unlabeled/images_jpg/2426_7680_6400.jpg,dataset/unlabeled/images_jpg/2426_1280_6400.jpg,0.809559
dataset/unlabeled/images_jpg/731_10240_2560.jpg,dataset/unlabeled/images_jpg/731_10240_3840.jpg,0.809518
dataset/unlabeled/images_jpg/15912_0_2560.jpg,dataset/unlabeled/images_jpg/5598_1280_2560.jpg,0.809490
dataset/unlabeled/images_jpg/17811_7680_3840.jpg,dataset/unlabeled/images_jpg/4791_3840_6400.jpg,0.809441
dataset/unlabeled/images_jpg/2111_1280_2560.jpg,dataset/unlabeled/images_jpg/18581_0_0.jpg,0.809441
dataset/unlabeled/images_jpg/17531_8960_5120.jpg,dataset/unlabeled/images_jpg/17531_3840_0.jpg,0.809438
dataset/unlabeled/images_jpg/10646_1280_0.jpg,dataset/unlabeled/images_jpg/9807_2560_5120.jpg,0.809430
dataset/unlabeled/images_jpg/11553_1280_6400.jpg,dataset/unlabeled/images_jpg/11553_3840_6400.jpg,0.809397
dataset/unlabeled/images_jpg/4791_7680_8960.jpg,dataset/unlabeled/images_jpg/16525_10240_6400.jpg,0.809371
dataset/unlabeled/images_jpg/15796_0_6400.jpg,dataset/unlabeled/images_jpg/15796_7680_0.jpg,0.809303
dataset/unlabeled/images_jpg/14168_7680_10240.jpg,dataset/unlabeled/images_jpg/3183_11520_10240.jpg,0.809273
dataset/unlabeled/images_jpg/16488_2560_6400.jpg,dataset/unlabeled/images_jpg/10842_0_1280.jpg,0.809272
dataset/unlabeled/images_jpg/15796_2560_7680.jpg,dataset/unlabeled/images_jpg/17531_0_7680.jpg,0.809264
dataset/unlabeled/images_jpg/9939_3840_2560.jpg,dataset/unlabeled/images_jpg/3849_2560_2560.jpg,0.809231
dataset/unlabeled/images_jpg/1369_0_11520.jpg,dataset/unlabeled/images_jpg/4155_3840_8960.jpg,0.809215
dataset/unlabeled/images_jpg/13282_6400_7680.jpg,dataset/unlabeled/images_jpg/13282_6400_8960.jpg,0.809205
dataset/unlabeled/images_jpg/5148_0_8960.jpg,dataset/unlabeled/images_jpg/3386_5120_5120.jpg,0.809203
dataset/unlabeled/images_jpg/14541_0_0.jpg,dataset/unlabeled/images_jpg/19012_6400_0.jpg,0.809147
